Stop_Words,Pre-Processing,Model,No_of_Features,Classifier,Accuracy,Precision,Recall,F-Score
Not Removed,Stemming,CBOW,900,RandFrst,0.673289183222958,0.5567966368539176,0.5184193544801377,0.5228582379545602
Not Removed,None,CBOW,900,SVM,0.6578366445916115,0.5525400312926528,0.5188010921500109,0.5223220087858386
Not Removed,Lemmatizing,CBOW,300,RandFrst,0.6799116997792495,0.5692787741039976,0.5203072739601086,0.521973212589535
Not Removed,None,CBOW,600,RandFrst,0.6777041942604857,0.5465689688631409,0.5128392565563811,0.5154682984871665
Not Removed,Stemming,CBOW,600,RandFrst,0.673289183222958,0.5578028293545535,0.5102849781400337,0.512216325410851
Removed,None,CBOW,900,RandFrst,0.6644591611479028,0.5509042785116405,0.5040244803541122,0.5100983895702805
Removed,Stemming,SkipGram,300,RandFrst,0.673289183222958,0.5398619077219299,0.5087372585911452,0.5087475139993946
Removed,Lemmatizing,CBOW,300,RandFrst,0.6799116997792495,0.5976708694697698,0.5076616651718932,0.5085602257067943
Removed,Lemmatizing,SkipGram,600,RandFrst,0.673289183222958,0.5282059784598592,0.5101530519414798,0.5075161022578923
Not Removed,Stemming,CBOW,300,RandFrst,0.6777041942604857,0.547669917204776,0.5094799650614963,0.5071304831632589
Not Removed,None,CBOW,300,SVM,0.6490066225165563,0.5363863910262353,0.5056900851757661,0.5064314337698521
Removed,Lemmatizing,CBOW,900,RandFrst,0.6622516556291391,0.5398085949810087,0.5024834887488306,0.5055343274965486
Removed,Stemming,CBOW,900,RandFrst,0.6710816777041942,0.5667583936240653,0.5012692411874177,0.5052486174085442
Removed,Stemming,CBOW,300,RandFrst,0.6622516556291391,0.5575738841414811,0.4964245367518307,0.5022007514761139
Not Removed,None,CBOW,600,SVM,0.6512141280353201,0.5326979947315862,0.500512493791278,0.5020946779433805
Removed,None,CBOW,300,SVM,0.6600441501103753,0.544316771861682,0.4937316041933224,0.499025664319782
Removed,None,SkipGram,900,RandFrst,0.6666666666666666,0.5243091405515076,0.5001307561214049,0.4980358409482704
Removed,Stemming,CBOW,300,SVM,0.6445916114790287,0.5217218293601613,0.4913782865273222,0.4959265786585974
Removed,Lemmatizing,SkipGram,300,RandFrst,0.6666666666666666,0.5121003356297474,0.4999988299228509,0.495911262529409
Removed,None,CBOW,600,RandFrst,0.6556291390728477,0.5398612898612899,0.4896296062280866,0.4945272305008279
Removed,Lemmatizing,SkipGram,900,RandFrst,0.6622516556291391,0.5189911484478547,0.4974445515065036,0.4934710546643157
Removed,None,CBOW,600,SVM,0.6578366445916115,0.5368032342276624,0.4892270996888179,0.4931041254131684
Removed,None,CBOW,900,SVM,0.6578366445916115,0.5371971077587662,0.4875474539413756,0.4909071800869095
Removed,Lemmatizing,CBOW,300,SVM,0.6467991169977925,0.5257812070198603,0.486464547539942,0.4903392071328354
Removed,Lemmatizing,CBOW,600,RandFrst,0.6666666666666666,0.5608651384100486,0.4921283059798547,0.4897085258262536
Removed,None,SkipGram,300,RandFrst,0.6666666666666666,0.5106758832565285,0.4952237450776317,0.4892451947656394
Removed,None,SkipGram,600,RandFrst,0.6534216335540839,0.5106462738041685,0.4923359946738088,0.4881739453773999
Removed,Lemmatizing,CBOW,900,SVM,0.6467991169977925,0.5245293791321417,0.4832371822436112,0.4864930490815154
Not Removed,None,CBOW,300,RandFrst,0.6534216335540839,0.5037070209484003,0.4847293231279204,0.4839627805145046
Removed,Stemming,CBOW,900,SVM,0.6379690949227373,0.5075843454790824,0.4798082711583588,0.4817011565894435
Removed,Stemming,CBOW,600,SVM,0.6445916114790287,0.5130755755755756,0.4788646039376606,0.4802905868192034
Removed,Lemmatizing,CBOW,600,SVM,0.6401766004415012,0.5143029235005673,0.4763103255213132,0.4785224040867725
Removed,Stemming,CBOW,600,RandFrst,0.6556291390728477,0.5203309863103678,0.481099451292321,0.4775920460656619
Removed,None,CBOW,300,RandFrst,0.6467991169977925,0.5133028747272071,0.4718754406071765,0.4721315556745198
Not Removed,Lemmatizing,SkipGram,600,DescTree,0.6644591611479028,0.4219926704522572,0.5159750633157997,0.4591307814992025
Not Removed,None,SkipGram,900,DescTree,0.6865342163355408,0.4221871713985279,0.502435223066433,0.4587545068977105
Removed,None,SkipGram,900,DescTree,0.6754966887417219,0.4192447972538082,0.5068835638677837,0.4581378375560421
Removed,Lemmatizing,SkipGram,300,DescTree,0.6710816777041942,0.4183264410498776,0.5074247245492132,0.4571846120782291
Not Removed,Stemming,SkipGram,600,DescTree,0.6754966887417219,0.4181165122107594,0.5037881247700068,0.4566407451342208
Not Removed,Lemmatizing,SkipGram,300,DescTree,0.6843267108167771,0.4217028299597107,0.4965149252115938,0.4553734061930783
Not Removed,None,SkipGram,900,LogReg,0.6799116997792495,0.4176331415847096,0.4970560858930233,0.4538230299067288
